# ID x y z r p longitude latitude
87670 -1.60800000e+06 7.15200000e+05 -3.02170000e+06 3.49690000e+06 4.45220000e+08 2.72309139e+00 -1.04337580e+00
87685 -1.59900000e+06 1.13290000e+06 -2.64080000e+06 3.28850000e+06 6.12930000e+09 2.52518120e+00 -9.32380648e-01
87687 -1.03100000e+06 1.13720000e+06 -2.40390000e+06 2.85220000e+06 1.26730000e+10 2.30725288e+00 -1.00250738e+00
87749 -6.89000000e+05 -2.57610000e+06 -2.22860000e+06 3.47530000e+06 9.61110000e+08 -1.83213789e+00 -6.96150133e-01
87755 -4.65000000e+05 -1.66270000e+06 -2.93420000e+06 3.40450000e+06 3.57350000e+09 -1.84349492e+00 -1.03892453e+00
87763 1.17700000e+06 -2.07460000e+06 -2.43240000e+06 3.40680000e+06 2.76470000e+09 -1.05473909e+00 -7.95171648e-01
87765 -1.80000000e+06 -2.09120000e+06 -2.15340000e+06 3.50010000e+06 1.60590000e+09 -2.28149820e+00 -6.62689815e-01
87769 -7.10000000e+05 -1.69090000e+06 -2.66770000e+06 3.23730000e+06 7.20740000e+09 -1.96833483e+00 -9.68524836e-01
87770 -4.19000000e+05 -1.63010000e+06 -2.64440000e+06 3.13460000e+06 7.11800000e+09 -1.82238930e+00 -1.00398315e+00
87775 1.06800000e+06 -1.87820000e+06 -2.14080000e+06 3.04160000e+06 9.00340000e+09 -1.05376280e+00 -7.80788962e-01
87776 1.36100000e+06 -2.03350000e+06 -2.03540000e+06 3.18280000e+06 5.61670000e+09 -9.80980180e-01 -6.93847473e-01
87777 1.15800000e+06 -2.17510000e+06 -2.15350000e+06 3.27260000e+06 6.68440000e+09 -1.08157425e+00 -7.18212119e-01
87778 1.47100000e+06 -1.89820000e+06 -2.52960000e+06 3.48800000e+06 1.27770000e+09 -9.11520818e-01 -8.11367459e-01
87781 -1.50700000e+06 -2.02280000e+06 -2.18850000e+06 3.33950000e+06 5.25540000e+09 -2.21109420e+00 -7.14629521e-01
