# ID x y z r p longitude latitude
39405 -5.15310000e+06 -2.51190000e+06 -3.67200000e+05 5.74450000e+06 2.02720000e+10 -2.68803200e+00 -6.39656237e-02
39451 -5.72610000e+06 -2.29740000e+06 -7.67880000e+05 6.21740000e+06 1.60280000e+09 -2.76003888e+00 -1.23821157e-01
39452 -5.24710000e+06 -2.76550000e+06 -4.84490000e+05 5.95100000e+06 1.47150000e+10 -2.65653757e+00 -8.15034131e-02
41200 1.58750000e+06 -5.77340000e+06 -1.26010000e+06 6.11880000e+06 5.44270000e+09 -1.30245991e+00 -2.07423254e-01
41202 1.21340000e+06 -6.02250000e+06 3.28200000e+05 6.15230000e+06 4.35370000e+09 -1.37198022e+00 5.33712374e-02
41234 1.17760000e+06 -5.80880000e+06 5.26310000e+05 5.95030000e+06 1.28040000e+10 -1.37078013e+00 8.85667443e-02
41273 -2.10200000e+06 -5.28160000e+06 -6.52530000e+05 5.72180000e+06 2.05390000e+10 -1.94956483e+00 -1.14291444e-01
41311 -7.50300000e+05 -4.33310000e+06 -7.80870000e+04 4.39830000e+06 7.62250000e+10 -1.74225172e+00 -1.77548377e-02
41315 4.69200000e+05 -4.21490000e+06 7.32010000e+04 4.24160000e+06 7.82180000e+10 -1.45993339e+00 1.72587312e-02
41336 -2.25180000e+06 -4.44430000e+06 1.43220000e+05 4.98430000e+06 4.58170000e+10 -2.03976685e+00 2.87381810e-02
41344 -2.87000000e+05 -4.31680000e+06 -4.54920000e+04 4.32660000e+06 6.99850000e+10 -1.63718306e+00 -1.05146855e-02
41368 -3.32470000e+06 -4.03630000e+06 -1.25880000e+05 5.23080000e+06 3.66920000e+10 -2.25982231e+00 -2.40674760e-02
41369 -3.15620000e+06 -3.90550000e+06 3.86050000e+04 5.02160000e+06 4.60290000e+10 -2.25048244e+00 7.68786448e-03
41370 -2.76180000e+06 -4.23770000e+06 -8.54400000e+02 5.05820000e+06 4.58240000e+10 -2.14838076e+00 -1.68913844e-04
41377 -1.33200000e+06 -3.91190000e+06 -2.62670000e+05 4.14080000e+06 8.56220000e+10 -1.89898251e+00 -6.34772222e-02
41402 -3.35320000e+06 -4.06720000e+06 1.52310000e+05 5.27340000e+06 3.73080000e+10 -2.26026858e+00 2.88867115e-02
41403 -3.39900000e+06 -3.81140000e+06 1.02900000e+05 5.10790000e+06 4.10700000e+10 -2.29906157e+00 2.01466280e-02
41434 4.79330000e+06 -3.84060000e+06 4.19450000e+05 6.15640000e+06 2.85570000e+09 -6.75498655e-01 6.81851724e-02
